"Orthogroup","anno"
"OG0000005","TOLL pathway"
"OG0000010","Apoptosis/ Autophagy (apoptosis)"
"OG0000025","Apoptosis/ Autophagy (apoptosis)"
"OG0000031","Serine Proteases/Serpins"
"OG0000037","Stress response"
"OG0000041","Serine Proteases/Serpins"
"OG0000043","Melanization"
"OG0000050","Protease"
"OG0000051","Detoxification"
"OG0000059","Apoptosis/ Autophagy (autophagy)"
"OG0000061","Melanization"
"OG0000077","JNK pathway"
"OG0000093","IMD pathway"
"OG0000119","ROS pathway"
"OG0000120","Antimicrobial peptides"
"OG0000127","Serine Proteases/Serpins"
"OG0000130","Serine Proteases/Serpins"
"OG0000150","Apoptosis/ Autophagy (apoptosis)"
"OG0000151","Serine Proteases/Serpins"
"OG0000152","TOLL pathway"
"OG0000159","Cellular immune response"
"OG0000173","Antimicrobial peptides"
"OG0000175","Microbial recognition"
"OG0000177","Cellular immune response"
"OG0000188","Apoptosis/ Autophagy (apoptosis)"
"OG0000196","Antiviral defense"
"OG0000210","ROS pathway"
"OG0000212","ROS pathway"
"OG0000225","Other Humoral response"
"OG0000244","Iron metabolism"
"OG0000259","Other Humoral response"
"OG0000268","Serine Proteases/Serpins"
"OG0000273","Coagulation"
"OG0000274","ROS pathway"
"OG0000340","TOLL pathway"
"OG0000388","TOLL pathway"
"OG0000407","Apoptosis/ Autophagy (apoptosis)"
"OG0000422","TOLL pathway"
"OG0000434","Detoxification"
"OG0000446","Antimicrobial peptides"
"OG0000523","proPO"
"OG0000545","Apoptosis/ Autophagy (apoptosis)"
"OG0000546","Melanization"
"OG0000585","Other Humoral response"
"OG0000591","JNK pathway"
"OG0000614","TOLL pathway"
"OG0000644","TOLL pathway"
"OG0000655","Apoptosis/ Autophagy (apoptosis)"
"OG0000679","MAKP-JNK-p38 pathways"
"OG0000692","Serine Proteases/Serpins"
"OG0000696","Melanization"
"OG0000710","Apoptosis/ Autophagy (autophagy)"
"OG0000734","TOLL pathway"
"OG0000802","Microbial recognition"
"OG0000803","ROS pathway"
"OG0000820","JNK pathway"
"OG0000830","Apoptosis/ Autophagy (apoptosis)"
"OG0000848","Hematopoesis and cellular response"
"OG0000857","JAK/STAT pathway"
"OG0000859","Microbial recognition"
"OG0000860","Iron metabolism"
"OG0000886","IMD pathway"
"OG0000937","Antimicrobial peptides"
"OG0000943","ROS pathway"
"OG0000949","Microbial recognition"
"OG0000986","Melanization"
"OG0001012","Antimicrobial peptides"
"OG0001014","Antiviral defense"
"OG0001046","Apoptosis/ Autophagy (apoptosis)"
"OG0001053","IMD pathway"
"OG0001083","MAKP-JNK-p38 pathways"
"OG0001084","Microbial recognition"
"OG0001122","TOLL pathway"
"OG0001142","Antimicrobial peptides"
"OG0001155","IDM pathway"
"OG0001168","Microbial recognition"
"OG0001179","Antiviral defense"
"OG0001208","Coagulation"
"OG0001222","JAK/STAT pathway"
"OG0001239","Coagulation"
"OG0001268","Melanization"
"OG0001289","Microbial recognition"
"OG0001306","Serine Proteases/Serpins"
"OG0001337","JAK/STAT pathway"
"OG0001356","MAKP-JNK-p38 pathways"
"OG0001357","JAK/STAT pathway"
"OG0001397","Apoptosis/ Autophagy (autophagy)"
"OG0001415","Apoptosis/ Autophagy (autophagy)"
"OG0001417","TOLL pathway"
"OG0001470","Antiviral defense"
"OG0001521","Apoptosis/ Autophagy (autophagy)"
