Family,Species,Original distribution,Diet_broad,Nesting_position,Nesting_substrate,Sociality
Halictidae,Agapostemon_sericeus,North America,Generalist,Below,,Solitary
Halictidae,Agapostemon_virescens,North America,Generalist,Below,Ground,Solitary to communal
Apidae,Amegilla_chlorocyanea,Australia,Generalist,Below,,Solitary
Andrenidae,Andrena_amphibola,North America,Generalist,Below,,Solitary
Andrenidae,Andrena_cerasifolii,North America,Generalist,Below,Ground,Solitary
Andrenidae,Andrena_cressonii_cressonii,North America,Generalist,Below,Ground,Solitary
Andrenidae,Andrena_milwaukeensis,North America,Generalist,Below,Ground,Solitary
Andrenidae,Andrena_regularis,North America,Generalist,Below,,Solitary
Andrenidae,Andrena_tridens,North America,Generalist,Below,,Solitary
Andrenidae,Andrena_vicina,North America,Generalist,Below,,Solitary
Megachilidae,Anthidium_emarginatum,North America,Generalist,Above,Cavities,Solitary
Megachilidae,Anthidium_manicatum,Europe,Generalist,Above,Cavities,Solitary
Megachilidae,Anthidium_oblongatum,Mediterranean and Central Asia,Generalist,Above,Cavities,Solitary
Megachilidae,Anthidium_palmarum,North America,Generalist,Above,Cavities,Solitary
Apidae,Anthophora_abrupta,North America,Generalist,Below,Vertical banks,Solitary
Apidae,Anthophora_californica,North America,Generalist,Below,Ground,Solitary
Apidae,Anthophora_peritomae,North America,Generalist,Below,,Solitary
Apidae,Anthophora_urbana,North America,Generalist,Below,Ground,Solitary
Apidae,Anthophora_villosula,Eastern Asia,Generalist,Below,Vertical banks,Solitary
Halictidae,Augochlora_pura,North America,Generalist,Above,Decaying wood,Solitary
Halictidae,Augochlorella_aurata,North America,Generalist,Below,Ground,Facultatively social
Halictidae,Augochloropsis_metallica,North America,Generalist,Below,Ground,Facultatively social
Apidae,Bombus_affinis,North America,Generalist,Below,Ground,Solitary
Apidae,Bombus_bimaculatus,North America,Generalist,Below,Ground,Social
Apidae,Bombus_californicus,North America,Generalist,Below,Ground,Social
Apidae,Bombus_caliginosus,North America,Generalist,Below,,Social
Apidae,Bombus_ephippiatus,Mexico,Generalist,Below,Ground,Social
Apidae,Bombus_fervidus,North America,Generalist,Both,,Social
Apidae,Bombus_flavifrons,North America,Generalist,,,Social
Apidae,Bombus_fraternus,North America,Generalist,Below,Ground,Social
Apidae,Bombus_griseocollis,North America,Generalist,Below,Ground,Social
Apidae,Bombus_huntii,North America,Generalist,,,Social
Apidae,Bombus_impatiens,North America,Generalist,Below,Ground,Social
Apidae,Bombus_melanopygus,North America,Generalist,Both,,Social
Apidae,Bombus_mixtus,North America,Generalist,,,Social
Apidae,Bombus_occidentalis,North America,Generalist,Below,Ground,Social
Apidae,Bombus_pensylvanicus,North America,Generalist,Below,Ground,Social
Apidae,Bombus_sonorus,North America,Generalist,Below,Ground,Social
Apidae,Bombus_terricola,North America,Generalist,Below,,Social
