Species,Sociality
Agapostemon_sericeus,Solitary
Agapostemon_virescens,Social
Amegilla_chlorocyanea,Solitary
Ampulex_compressa,Solitary
Ancistrocerus_nigricornis,Solitary
Ancylandrena_larreae,Polymorphic
Ancyloscelis_apiformis,Solitary
Ancyloscelis_sp,Solitary
Andrena_aliciae,Solitary
Andrena_amphibola,Solitary
Andrena_astragali,Solitary
Andrena_bicolor,Solitary
Andrena_bucephala,Polymorphic
Andrena_cerasifolii,Solitary
Andrena_chrysosceles,Solitary
Andrena_dorsata,Solitary
Andrena_flavipes,Solitary
Andrena_fulva,Solitary
Andrena_haemorrhoa,Solitary
Andrena_hattorfiana,Solitary
Andrena_helianthi,Solitary
Andrena_helvola,Solitary
Andrena_lawrencei,Solitary
Andrena_marginata,Solitary
Andrena_milwaukeensis,Solitary
Andrena_minutula,Solitary
Andrena_miserabilis,Solitary
Andrena_nitida,Solitary
Andrena_praecox,Solitary
Andrena_regularis,Solitary
Andrena_sp,Solitary
Andrena_tridens,Solitary
Andrena_trimmerana,Solitary
Andrena_vicina,Social
Anoplius_nigerrimus,Solitary
Anthemurgus_passiflorae,Solitary
Anthidium_emarginatum,Solitary
Anthidium_manicatum,Solitary
Anthidium_oblongatum,Solitary
Anthidium_palmarum,Solitary
Anthidium_sp,Solitary
Anthidium_xuezhongi,Solitary
Anthoglossa_nigrocincta,Solitary
Anthophora_abrupta,Solitary
Anthophora_californica,Solitary
Anthophora_peritomae,Solitary
Anthophora_peritomae_poplynn,Solitary
Anthophora_plumipes,Solitary
Anthophora_urbana,Solitary
Anthophora_villosula,Solitary
Apis_florea,Eusocial
Apis_laboriosa,Eusocial
Ashmediella_sp,Solitary
Augochlora_pura,Solitary
Augochlorella_aurata,Polymorphic
Augochloropsis_metallica,Social
Bembix_americana,Solitary
Bombus_affinis,Eusocial
Bombus_balteatus,Eusocial
Bombus_bifarius,Eusocial
Bombus_bimaculatus,Eusocial
Bombus_breviceps,Eusocial
Bombus_californicus,Eusocial
Bombus_caliginosus,Eusocial
Bombus_campestris,Cleptoparasitic
Bombus_confusus,Eusocial
Bombus_consobrinus,Eusocial
Bombus_cullumanus,Eusocial
Bombus_difficillimus,Eusocial
Bombus_ephippiatus,Eusocial
Bombus_fervidus,Eusocial
Bombus_flavifrons,Eusocial
Bombus_fraternus,Eusocial
Bombus_griseocollis,Eusocial
Bombus_haemorrhoidalis,Eusocial
Bombus_hortorum,Eusocial
Bombus_huntii,Eusocial
Bombus_hypnorum,Eusocial
Bombus_ignitus,Eusocial
Bombus_impatiens,Eusocial
Bombus_insularis,Cleptoparasitic
Bombus_jonellus,Eusocial
Bombus_melanopygus,Eusocial
Bombus_mixtus,Eusocial
Bombus_occidentalis,Eusocial
Bombus_pascuorum,Eusocial
Bombus_pensylvanicus,Eusocial
Bombus_picipes,Eusocial
Bombus_polaris,Eusocial
Bombus_pratorum,Eusocial
Bombus_pyrosoma,Eusocial
Bombus_rufofasciatus,Eusocial
Bombus_sibiricus,Eusocial
Bombus_sitkensis,Eusocial
Bombus_skorikovi,Cleptoparasitic
Bombus_sonorus,Eusocial
Bombus_soroeensis,Eusocial
Bombus_superbus,Eusocial
Bombus_sylvestris,Cleptoparasitic
Bombus_sylvicola,Eusocial
Bombus_terricola,Eusocial
Bombus_turneri,Cleptoparasitic
Bombus_vancouverensis_nearcticus,Eusocial
Bombus_vandykei,Eusocial
Bombus_vosnesenskii,Eusocial
Bombus_waltoni,Eusocial
Brachymelecta_larreae,Cleptoparasitic
Brachymelecta_sp,Cleptoparasitic
