	Amegilla_chlorocyanea	Ancylandrena_larreae	Andrena_aliciae	Andrena_amphibola	Andrena_astragali	Andrena_cerasifolii	Andrena_helianthi	Andrena_milwaukeensis	Andrena_miserabilis	Andrena_tridens	Andrena_vicina	Anopheles_gambiae	Anthidium_emarginatum	Anthidium_manicatum	Anthidium_oblongatum	Anthidium_palmarum	Anthophora_abrupta	Anthophora_californica	Anthophora_peritomae	Anthophora_urbana	Anthophora_villosula	Apis_mellifera	Augochlora_pura	Augochloropsis_metallica	Bombus_californicus	Bombus_caliginosus	Bombus_fervidus	Bombus_insularis	Bombus_occidentalis	Bombus_sonorus	Bombus_terrestris	Bombus_terricola	Bombus_vancouverensis_nearcticus	Bombus_vandykei	Calliopsis_andreniformis	Centris_inermis	Centris_pallida	Centris_rhodopus	Coelioxys_galactiae	Coelioxys_octodentatus	Coelioxys_rufitarsis	Colletes_inaequalis	Colletes_simulans	Colletes_ultravalidus	Diadasia_enavata	Dianthidium_ulkei	Dieunomia_bolliana	Dioxys_pacifica	Drosophila_melanogaster	Epeolus_scutellaris	Ericrocis_lata	Eulaema_meriana	Eulaema_nigrita	Eulonchopria_punctatissima	Exaerete_frontalis	Frieseomelitta_nigra	Gaesischia_exul	Habropoda_pallida	Heriades_leavitti	Hoplitis_anthocopoides	Hylaeus_ornatus	Hylaeus_volcanicus	Lithurgopsis_echinocacti	Martinapis_luteicornis	Megachile_campanulae	Megachile_frigida	Megachile_inimica	Megachile_latimanus	Megachile_petulans	Megachile_rugifrons	Megandrena_enceliae	Megandrena_mentzeliae	Melissodes_druriellus	Melissodes_trinodis	Mesoxaea_nigerrima	Nomada_cressoni	Nomada_luteoloides	Nomada_maculata	Nomada_obliterata	Nomada_vicina	Nomada_vincta	Oreopasites_vanduzeei	Osmia_bruneri	Osmia_cornifrons	Osmia_georgica	Osmia_lignaria_propinqua_CA	Osmia_lignaria_propinqua_UT	Osmia_lignaria_propinqua_WA	Osmia_ribifloris	Osmia_taurus	Osmia_unca	Panurginus_polytrichus	Perdita_maritima	Protandrena_mexicanorum	Protosmia_rubifloris	Protoxaea_gloriosa	Stelis_foederalis	Stelis_lateralis	Svastra_machaerantherae	Svastra_obliqua	Svastra_petulca	Townsendiella_pulchra	Trachusa_larreae	Trachusa_mitchelli	Triepeolus_kathrynae	Triepeolus_pectoralis	Trigona_fulviventris	Xenoglossa_angustior	Xylocopa_micans	Xylocopa_micheneri	Xylocopa_sonorina	Xylocopa_strandi	Zacosmia_maculata
Amegilla_chlorocyanea	9096	8828	8787	8819	8777	8805	8122	8782	8771	8780	8775	7425	8784	8451	8767	8765	8937	8944	8899	8934	8919	8710	8754	8476	8853	8854	8853	8840	8857	8865	8776	8827	8793	8860	8779	8852	8852	8822	8815	8799	8790	8765	8760	8760	8552	8796	8748	8762	7331	8844	8795	8854	8829	8566	8825	8656	8869	8870	8590	8793	8718	8732	8756	8797	8790	8507	8813	8823	8818	8798	8788	8773	8831	8860	8729	8824	8783	8840	8823	8854	8765	8800	8774	8775	8762	8692	8769	8763	8772	8776	8780	8046	8672	8752	8632	8758	8812	8845	8819	8510	8838	8815	8774	8790	8822	8859	8797	8387	8753	8798	8793	8803	8833
Ancylandrena_larreae	8828	9352	9004	9050	8999	9018	8303	8968	8966	8986	8962	7489	8852	8525	8848	8840	8935	8959	8892	8926	8911	8758	8856	8548	8903	8904	8924	8900	8898	8907	8816	8878	8852	8914	8945	8903	8935	8889	8908	8891	8891	8869	8879	8862	8536	8889	8832	8838	7375	8884	8845	8918	8881	8633	8875	8676	8937	8873	8671	8883	8849	8865	8837	8873	8869	8590	8897	8918	8907	8875	8967	8929	8894	8924	8871	8885	8839	8900	8865	8938	8777	8835	8868	8864	8856	8799	8874	8874	8865	8861	8866	8129	8781	8880	8716	8886	8928	8964	8892	8588	8924	8882	8839	8852	8892	8915	8827	8446	8802	8854	8855	8862	8852
Andrena_aliciae	8787	9004	9332	9063	9044	9023	8332	8984	9035	9018	8982	7476	8819	8491	8818	8805	8878	8892	8841	8859	8849	8709	8832	8551	8868	8857	8872	8855	8857	8875	8784	8833	8810	8867	8909	8842	8870	8825	8881	8857	8859	8844	8858	8836	8521	8852	8819	8828	7377	8835	8795	8849	8821	8628	8808	8635	8882	8831	8657	8848	8823	8835	8808	8811	8839	8567	8872	8877	8866	8859	8945	8908	8860	8890	8844	8856	8805	8875	8831	8898	8756	8809	8841	8836	8826	8774	8848	8846	8846	8829	8830	8123	8763	8853	8692	8859	8905	8931	8834	8527	8860	8846	8817	8833	8853	8859	8790	8398	8759	8804	8809	8814	8812
Andrena_amphibola	8819	9050	9063	9378	9094	9084	8385	9076	9037	9085	9069	7489	8841	8524	8850	8836	8919	8921	8866	8901	8892	8738	8869	8549	8888	8896	8900	8892	8891	8897	8815	8860	8841	8902	8927	8889	8902	8863	8909	8879	8885	8870	8887	8860	8531	8885	8843	8841	7386	8873	8836	8892	8869	8645	8850	8666	8922	8857	8662	8872	8868	8878	8831	8851	8872	8600	8902	8918	8909	8887	8965	8937	8883	8914	8860	8899	8843	8906	8860	8941	8779	8823	8881	8875	8861	8809	8884	8879	8874	8868	8872	8137	8794	8896	8709	8888	8926	8966	8879	8572	8905	8863	8842	8869	8871	8888	8822	8432	8781	8845	8846	8841	8853
Andrena_astragali	8777	8999	9044	9094	9344	9048	8357	9019	9051	9059	9037	7483	8833	8508	8837	8829	8870	8886	8833	8853	8843	8714	8837	8526	8869	8867	8882	8861	8868	8879	8793	8844	8821	8872	8900	8833	8869	8836	8886	8858	8863	8852	8862	8853	8518	8868	8821	8831	7365	8835	8809	8852	8822	8627	8813	8650	8891	8834	8642	8840	8851	8854	8805	8826	8850	8579	8874	8892	8881	8867	8938	8920	8864	8887	8818	8865	8820	8867	8831	8902	8752	8802	8859	8851	8841	8791	8861	8859	8855	8842	8847	8136	8780	8868	8678	8851	8918	8934	8854	8549	8882	8837	8825	8845	8838	8859	8800	8419	8773	8824	8820	8825	8828
Andrena_cerasifolii	8805	9018	9023	9084	9048	9370	8346	9031	9035	9081	9040	7518	8860	8542	8859	8864	8921	8931	8868	8909	8889	8826	8875	8536	8956	8945	8996	8933	8938	8952	8902	8915	8936	8944	8993	8879	8922	8883	8927	8887	8891	8893	8912	8886	8542	8908	8857	8861	7397	8876	8845	8900	8864	8640	8849	8697	8925	8884	8668	8872	8868	8888	8823	8849	8885	8620	8918	8937	8932	8909	8954	8929	8907	8927	8850	8924	8851	8897	8846	8938	8763	8852	8903	8908	8889	8881	8955	8950	8913	8879	8897	8120	8789	8882	8710	8906	8949	8970	8887	8583	8922	8880	8853	8860	8896	8913	8842	8460	8814	8867	8920	8876	8870
Andrena_helianthi	8122	8303	8332	8385	8357	8346	8512	8389	8340	8403	8410	6884	8180	7889	8177	8173	8218	8216	8175	8196	8203	8062	8191	7915	8223	8210	8220	8206	8213	8217	8148	8184	8151	8212	8222	8178	8194	8189	8219	8189	8191	8201	8208	8192	7914	8214	8181	8171	6797	8173	8167	8175	8161	8018	8159	8036	8214	8200	8005	8188	8204	8208	8131	8165	8200	7906	8223	8246	8219	8215	8269	8275	8194	8219	8169	8205	8158	8202	8160	8229	8113	8158	8217	8221	8200	8135	8210	8207	8214	8211	8209	7551	8150	8217	8052	8181	8241	8254	8163	7873	8203	8187	8187	8199	8196	8199	8175	7760	8136	8173	8161	8173	8187
Andrena_milwaukeensis	8782	8968	8984	9076	9019	9031	8389	9218	9008	9060	9061	7463	8831	8512	8822	8818	8857	8872	8826	8845	8843	8717	8844	8551	8875	8869	8875	8866	8870	8879	8791	8842	8809	8877	8891	8836	8857	8830	8871	8838	8838	8852	8854	8841	8553	8864	8827	8830	7363	8831	8820	8842	8827	8651	8813	8685	8879	8842	8654	8841	8853	8859	8787	8824	8848	8563	8872	8890	8873	8862	8943	8934	8855	8875	8812	8864	8824	8865	8822	8892	8770	8811	8863	8863	8845	8784	8860	8857	8866	8854	8857	8147	8799	8879	8688	8837	8909	8920	8823	8529	8852	8839	8827	8850	8839	8849	8823	8413	8780	8818	8825	8830	8834
Andrena_miserabilis	8771	8966	9035	9037	9051	9035	8340	9008	9306	9113	9010	7473	8834	8522	8825	8826	8847	8856	8823	8835	8830	8704	8843	8563	8863	8861	8861	8850	8863	8869	8787	8829	8806	8871	8884	8825	8839	8813	8878	8856	8854	8850	8851	8845	8519	8862	8822	8831	7355	8814	8803	8824	8807	8642	8789	8655	8859	8833	8645	8836	8836	8842	8790	8798	8844	8574	8876	8899	8872	8862	8934	8917	8848	8868	8824	8855	8807	8847	8819	8881	8751	8808	8862	8846	8839	8780	8857	8849	8855	8848	8847	8144	8776	8857	8683	8836	8902	8920	8807	8515	8841	8843	8835	8845	8827	8834	8796	8390	8770	8806	8814	8824	8820
Andrena_tridens	8780	8986	9018	9085	9059	9081	8403	9060	9113	9302	9076	7465	8853	8537	8844	8847	8883	8879	8829	8860	8858	8714	8858	8539	8891	8884	8891	8882	8885	8890	8806	8857	8828	8891	8910	8838	8864	8857	8888	8853	8855	8872	8881	8858	8529	8885	8843	8837	7351	8843	8825	8842	8819	8644	8816	8672	8886	8860	8646	8845	8863	8875	8797	8822	8864	8582	8895	8911	8896	8881	8933	8925	8872	8882	8826	8886	8825	8878	8818	8908	8755	8822	8876	8879	8861	8816	8890	8889	8883	8868	8874	8139	8800	8870	8688	8865	8921	8927	8835	8539	8871	8858	8846	8857	8856	8865	8815	8423	8788	8824	8826	8828	8842
Andrena_vicina	8775	8962	8982	9069	9037	9040	8410	9061	9010	9076	9219	7463	8839	8526	8827	8826	8865	8867	8824	8849	8849	8711	8844	8535	8878	8871	8881	8871	8874	8876	8793	8847	8814	8877	8889	8835	8851	8844	8869	8834	8837	8851	8864	8848	8542	8864	8827	8826	7353	8827	8822	8837	8811	8648	8813	8677	8876	8845	8653	8834	8853	8857	8783	8814	8851	8568	8873	8902	8881	8870	8926	8924	8851	8865	8810	8872	8819	8863	8818	8885	8759	8799	8865	8859	8837	8788	8864	8862	8859	8855	8859	8142	8801	8871	8686	8831	8912	8916	8821	8522	8843	8837	8831	8847	8835	8847	8818	8404	8782	8818	8820	8826	8833
Anopheles_gambiae	7425	7489	7476	7489	7483	7518	6884	7463	7473	7465	7463	8655	7428	7191	7418	7407	7465	7474	7456	7468	7450	7387	7554	7339	7470	7465	7511	7454	7463	7474	7443	7447	7445	7466	7527	7452	7447	7405	7470	7464	7470	7437	7457	7438	7287	7431	7432	7431	7852	7458	7424	7457	7439	7322	7447	7350	7479	7436	7345	7456	7443	7428	7431	7440	7446	7350	7467	7600	7465	7465	7481	7459	7454	7482	7436	7450	7415	7469	7460	7649	7421	7449	7442	7438	7423	7359	7423	7420	7443	7436	7441	6928	7385	7458	7367	7432	7474	7491	7454	7169	7473	7449	7437	7449	7453	7463	7438	7066	7377	7408	7475	7418	7435
Anthidium_emarginatum	8784	8852	8819	8841	8833	8860	8180	8831	8834	8853	8839	7428	9140	8679	8948	8986	8862	8866	8831	8859	8840	8715	8797	8511	8859	8864	8867	8853	8870	8870	8788	8844	8808	8868	8793	8831	8856	8835	8948	8925	8917	8817	8820	8812	8531	8956	8793	8877	7330	8844	8823	8840	8825	8603	8821	8665	8856	8843	8694	8908	8799	8802	8835	8800	8937	8633	8954	8960	8954	8934	8817	8817	8842	8846	8756	8852	8808	8849	8800	8868	8757	8814	8911	8915	8901	8833	8905	8909	8923	8909	8921	8089	8713	8787	8729	8790	8966	8973	8812	8516	8833	8839	8916	8931	8855	8865	8813	8391	8773	8814	8809	8827	8841
Anthidium_manicatum	8451	8525	8491	8524	8508	8542	7889	8512	8522	8537	8526	7191	8679	8984	8625	8652	8546	8536	8508	8532	8526	8392	8507	8189	8554	8552	8543	8535	8552	8551	8470	8527	8494	8549	8467	8496	8527	8511	8604	8577	8574	8496	8500	8495	8221	8616	8472	8546	7103	8510	8492	8521	8498	8292	8494	8358	8530	8522	8354	8562	8484	8485	8492	8475	8590	8338	8622	8652	8663	8599	8487	8497	8513	8524	8433	8529	8481	8516	8475	8554	8420	8487	8590	8583	8573	8513	8585	8585	8585	8585	8585	7799	8401	8467	8402	8461	8630	8642	8484	8198	8513	8516	8586	8590	8517	8528	8494	8078	8453	8496	8483	8511	8509
