Family,Species,Original distribution,Nesting_position,Nesting_substrate,Sociality
Apidae,Brachymelecta_larreae,,Below,,Cleptoparasitic
Apidae,Brachynomada_nimia,North America,Below,,Cleptoparasitic
Megachilidae,Coelioxys_octodentatus,North America,Above,,Cleptoparasitic
Megachilidae,Coelioxys_rufitarsis,North America,Above,,Cleptoparasitic
Megachilidae,Coelioxys_sayi,North America,Above,,Cleptoparasitic
Megachilidae,Coelioxys_galactiae,,Above,,Cleptoparasitic
Megachilidae,Dioxys_pacifica,,Above,,Cleptoparasitic
Apidae,Epeolus_pusillus,North America,Below,,Cleptoparasitic
Apidae,Epeolus_scutellaris,North America,Below,,Cleptoparasitic
Apidae,Ericrocis_lata,North America,Below,,Cleptoparasitic
Apidae,Exaerete_frontalis,Neotropics,Above,,Cleptoparasitic
Apidae,Neolarra_sp,North America,Below,,Cleptoparasitic
Apidae,Nomada_articulata,North America,Below,,Cleptoparasitic
Apidae,Nomada_cressonii,North America,Below,,Cleptoparasitic
Apidae,Nomada_imbricata,North America,Below,,Cleptoparasitic
Apidae,Nomada_luteoloides,North America,Below,,Cleptoparasitic
Apidae,Nomada_maculata,North America,Below,,Cleptoparasitic
Apidae,Nomada_mx_sp1,,Below,,Cleptoparasitic
Apidae,Nomada_obliterata,North America,Below,,Cleptoparasitic
Apidae,Nomada_sp,,Below,,Cleptoparasitic
Apidae,Nomada_vicina,North America,Below,,Cleptoparasitic
Apidae,Nomada_vincta,North America,Below,,Cleptoparasitic
Apidae,Oreopasites_vanduzeei,,Below,,Cleptoparasitic
Halictidae,Sphecodes_pecosensis,North America,Below,,Cleptoparasitic
Megachilidae,Stelis_lateralis,North America,Above,,Cleptoparasitic
Megachilidae,Stelis_louisae,North America,Above,,Cleptoparasitic
Megachilidae,Stelis_subcaerulea,North America,Above,,Cleptoparasitic
Apidae,Townsendiella_pulchra,,Below,,Cleptoparasitic
Apidae,Triepeolus_concavus,North America,Below,,Cleptoparasitic
Apidae,Triepeolus_distinctus,North America,Below,,Cleptoparasitic
Apidae,Triepeolus_helianthi,North America,Below,,Cleptoparasitic
Apidae,Triepeolus_kathrynae,North America,Below,,Cleptoparasitic
Apidae,Triepeolus_pectoralis,North America,Below,,Cleptoparasitic
Apidae,Triepeolus_remigatus,North America,Below,,Cleptoparasitic
Apidae,Triepeolus_verbesinae,North America,Below,,Cleptoparasitic
Apidae,Zacosmia_maculata,North America,Below,,Cleptoparasitic
Halictidae,Augochlorella_aurata,North America,Below,Ground,Facultatively social
Halictidae,Augochloropsis_metallica,North America,Below,Ground,Facultatively social
Apidae,Euglossa_dilemma,Central America,Above,Cavities,Facultatively social
Apidae,Euglossa_viridissima,Central America,Above,Cavities,Facultatively social
Halictidae,Halictus_rubicundus,North America,Below,Ground,Facultatively social
Halictidae,Lasioglossum_albipes,Paleartic,Below,,Facultatively social
Halictidae,Lasioglossum_baleicum,Asia,Below,Ground,Facultatively social
Halictidae,Lasioglossum_zephyrum,North America,Below,Ground,Facultatively social
Halictidae,Megalopta_genalis,Central and North of South America,Above,Wood,Facultatively social
