"","Amegilla_chlorocyanea","Ancylandrena_larreae","Andrena_aliciae","Andrena_amphibola","Andrena_astragali","Andrena_cerasifolii","Andrena_helianthi","Andrena_milwaukeensis","Andrena_miserabilis","Andrena_tridens","Andrena_vicina","Anopheles_gambiae","Anthidium_emarginatum","Anthidium_manicatum","Anthidium_oblongatum","Anthidium_palmarum","Anthophora_abrupta","Anthophora_californica","Anthophora_peritomae","Anthophora_urbana","Anthophora_villosula","Apis_mellifera","Augochlora_pura","Augochloropsis_metallica","Bombus_californicus","Bombus_caliginosus","Bombus_fervidus","Bombus_insularis","Bombus_occidentalis","Bombus_sonorus","Bombus_terrestris","Bombus_terricola","Bombus_vancouverensis_nearcticus","Bombus_vandykei","Calliopsis_andreniformis","Centris_inermis","Centris_pallida","Centris_rhodopus","Coelioxys_galactiae","Coelioxys_octodentatus","Coelioxys_rufitarsis","Colletes_inaequalis","Colletes_simulans","Colletes_ultravalidus","Diadasia_enavata","Dianthidium_ulkei","Dieunomia_bolliana","Dioxys_pacifica","Drosophila_melanogaster","Epeolus_scutellaris","Ericrocis_lata","Eulaema_meriana","Eulaema_nigrita","Eulonchopria_punctatissima","Exaerete_frontalis","Frieseomelitta_nigra","Gaesischia_exul","Habropoda_pallida","Heriades_leavitti","Hoplitis_anthocopoides","Hylaeus_ornatus","Hylaeus_volcanicus","Lithurgopsis_echinocacti","Martinapis_luteicornis","Megachile_campanulae","Megachile_frigida","Megachile_inimica","Megachile_latimanus","Megachile_petulans","Megachile_rugifrons","Megandrena_enceliae","Megandrena_mentzeliae","Melissodes_druriellus","Melissodes_trinodis","Mesoxaea_nigerrima","Nomada_cressoni","Nomada_luteoloides","Nomada_maculata","Nomada_obliterata","Nomada_vicina","Nomada_vincta","Oreopasites_vanduzeei","Osmia_bruneri","Osmia_cornifrons","Osmia_georgica","Osmia_lignaria_propinqua_CA","Osmia_lignaria_propinqua_UT","Osmia_lignaria_propinqua_WA","Osmia_ribifloris","Osmia_taurus","Osmia_unca","Panurginus_polytrichus","Perdita_maritima","Protandrena_mexicanorum","Protosmia_rubifloris","Protoxaea_gloriosa","Stelis_foederalis","Stelis_lateralis","Svastra_machaerantherae","Svastra_obliqua","Svastra_petulca","Townsendiella_pulchra","Trachusa_larreae","Trachusa_mitchelli","Triepeolus_kathrynae","Triepeolus_pectoralis","Trigona_fulviventris","Xenoglossa_angustior","Xylocopa_micans","Xylocopa_micheneri","Xylocopa_sonorina","Xylocopa_strandi","Zacosmia_maculata"
"Amegilla_chlorocyanea",343,340,340,341,341,341,315,341,341,343,342,314,341,325,341,341,343,343,342,343,343,342,343,334,343,340,342,341,342,342,340,342,341,341,339,337,342,340,338,341,341,343,342,343,338,342,341,343,310,341,342,342,340,343,339,340,342,342,337,340,341,341,341,341,343,337,342,342,339,343,342,340,343,343,340,341,341,341,339,343,340,341,342,341,339,339,341,341,341,342,341,317,342,342,338,338,343,343,342,326,343,342,341,342,342,341,341,321,343,342,342,342,343
"Ancylandrena_larreae",340,344,340,342,342,342,315,341,342,344,343,314,339,324,341,340,342,342,341,341,341,341,343,332,343,341,342,341,342,342,340,342,341,341,340,337,342,340,338,340,341,343,341,343,336,342,342,342,310,341,343,343,339,342,338,340,342,342,335,338,341,341,340,341,343,337,342,342,339,343,343,340,342,342,340,341,341,340,339,342,340,340,341,340,338,338,340,340,340,341,340,316,342,341,337,338,341,341,342,326,343,342,341,342,342,341,341,322,343,342,342,342,343
"Andrena_aliciae",340,340,343,342,341,341,315,341,343,343,343,314,338,323,340,339,342,342,341,341,341,341,343,333,342,339,341,340,341,341,339,341,340,340,338,337,341,339,338,340,340,342,341,342,336,341,341,341,309,342,341,341,339,341,337,339,341,341,336,339,340,340,339,341,342,336,341,341,338,342,343,340,341,341,340,340,341,339,338,341,338,341,341,340,338,338,340,340,340,341,340,315,341,340,336,339,341,341,341,326,342,342,340,341,341,340,340,320,342,341,341,341,342
"Andrena_amphibola",341,342,342,345,343,343,317,344,344,345,345,315,340,325,342,341,343,343,342,342,342,342,344,333,344,341,343,342,343,343,341,343,342,342,340,338,343,341,339,341,342,344,342,344,337,343,343,343,310,343,343,343,340,343,338,341,343,343,336,339,343,343,340,343,344,338,343,343,340,344,345,342,343,343,341,342,343,341,340,343,340,342,342,341,339,339,341,341,341,342,341,317,343,342,337,340,342,342,343,328,344,344,342,343,343,342,342,322,344,343,343,343,344
"Andrena_astragali",341,342,341,343,345,343,317,342,343,345,344,314,340,326,343,341,343,343,342,342,342,342,344,333,344,341,343,342,343,343,341,343,342,342,340,339,343,341,340,341,343,344,342,344,337,343,343,343,310,342,343,343,341,343,338,341,344,343,337,339,342,342,340,342,344,338,343,343,340,344,344,342,343,343,341,342,342,341,340,343,340,341,342,341,339,339,341,341,341,342,341,316,343,342,337,339,342,342,343,327,344,343,342,343,343,342,343,322,344,343,343,343,344
"Andrena_cerasifolii",341,342,341,343,343,346,316,342,343,345,344,316,341,326,342,341,343,343,342,342,342,343,344,333,345,343,344,344,344,345,342,344,344,342,341,338,343,341,340,342,343,344,342,344,337,343,343,343,312,342,343,343,340,343,338,341,343,343,337,339,342,343,340,342,344,338,343,343,341,344,344,341,343,343,341,342,342,341,340,343,340,342,342,343,340,340,342,342,343,343,342,316,343,343,338,339,342,342,343,327,344,343,342,343,344,343,342,322,344,343,343,343,344
"Andrena_helianthi",315,315,315,317,317,316,318,317,317,318,318,292,314,301,316,315,316,316,315,315,316,315,317,309,317,314,316,315,316,316,317,316,315,315,313,312,316,315,315,315,317,318,316,318,311,317,316,317,288,316,316,316,315,317,312,314,317,317,310,313,316,316,314,316,318,312,317,317,314,318,318,316,317,317,314,316,316,315,313,317,314,316,316,316,313,313,315,315,315,316,315,293,318,316,311,313,316,316,317,302,317,317,316,317,316,315,316,295,317,316,316,316,317
"Andrena_milwaukeensis",341,341,341,344,342,342,317,344,343,344,344,315,340,325,342,341,342,342,341,341,342,341,343,333,343,340,342,341,342,342,340,342,341,341,339,337,342,340,339,341,342,344,342,344,337,343,342,343,310,342,342,342,340,343,338,340,342,342,336,339,343,343,340,342,344,338,343,343,340,344,344,341,343,343,340,341,342,341,339,343,340,341,342,341,339,339,341,341,341,342,341,317,343,342,337,339,342,342,342,327,343,343,342,343,342,341,341,321,343,342,342,342,343
"Andrena_miserabilis",341,342,343,344,343,343,317,343,345,345,345,315,340,325,342,341,343,343,342,342,342,342,344,333,344,341,343,342,343,343,341,343,342,342,340,339,343,341,340,341,342,344,342,344,338,343,343,343,310,344,343,343,341,343,338,341,343,343,337,339,342,342,340,343,344,338,343,343,340,344,345,342,343,343,341,342,343,341,340,343,340,342,342,341,339,339,341,341,341,342,341,317,343,342,337,340,342,342,343,328,344,344,342,343,343,342,342,322,344,343,343,343,344
"Andrena_tridens",343,344,343,345,345,345,318,344,345,347,346,316,342,327,344,343,345,345,344,344,344,344,346,335,346,343,345,344,345,345,343,345,344,344,342,340,345,343,341,343,344,346,344,346,339,345,345,345,312,344,345,345,342,345,340,343,345,345,338,341,344,344,342,344,346,340,345,345,342,346,346,343,345,345,343,344,344,343,342,345,342,343,344,343,341,341,343,343,343,344,343,318,345,344,339,341,344,344,345,329,346,345,344,345,345,344,344,324,346,345,345,345,346
