Species,Total_Orthogroups
Amegilla_chlorocyanea,9096
Ancylandrena_larreae,9352
Andrena_aliciae,9332
Andrena_amphibola,9378
Andrena_astragali,9344
Andrena_cerasifolii,9370
Andrena_helianthi,8512
Andrena_milwaukeensis,9218
Andrena_miserabilis,9306
Andrena_tridens,9302
Andrena_vicina,9219
Anopheles_gambiae,8655
Anthidium_emarginatum,9140
Anthidium_manicatum,8984
Anthidium_oblongatum,9130
Anthidium_palmarum,9125
Anthophora_abrupta,9310
Anthophora_californica,9357
Anthophora_peritomae,9217
Anthophora_urbana,9316
Anthophora_villosula,9256
Apis_mellifera,9154
Augochlora_pura,9795
Augochloropsis_metallica,8753
Bombus_californicus,9305
Bombus_caliginosus,9296
Bombus_fervidus,9337
Bombus_insularis,9263
Bombus_occidentalis,9322
Bombus_sonorus,9305
Bombus_terrestris,9195
Bombus_terricola,9301
Bombus_vancouverensis_nearcticus,9281
Bombus_vandykei,9298
Calliopsis_andreniformis,9297
Centris_inermis,9293
Centris_pallida,9341
Centris_rhodopus,9224
Coelioxys_galactiae,9241
Coelioxys_octodentatus,9244
Coelioxys_rufitarsis,9245
Colletes_inaequalis,9141
Colletes_simulans,9173
Colletes_ultravalidus,9127
Diadasia_enavata,8779
Dianthidium_ulkei,9191
Dieunomia_bolliana,9059
Dioxys_pacifica,9112
Drosophila_melanogaster,8861
Epeolus_scutellaris,9203
Ericrocis_lata,9107
Eulaema_meriana,9514
Eulaema_nigrita,9371
Eulonchopria_punctatissima,8835
Exaerete_frontalis,9294
Frieseomelitta_nigra,8929
Gaesischia_exul,9338
Habropoda_pallida,9158
Heriades_leavitti,8955
Hoplitis_anthocopoides,9180
Hylaeus_ornatus,9113
Hylaeus_volcanicus,9128
Lithurgopsis_echinocacti,9171
Martinapis_luteicornis,9256
Megachile_campanulae,9139
Megachile_frigida,10126
Megachile_inimica,9197
Megachile_latimanus,10438
Megachile_petulans,9282
Megachile_rugifrons,9189
Megandrena_enceliae,9181
Megandrena_mentzeliae,9108
Melissodes_druriellus,9231
Melissodes_trinodis,9333
Mesoxaea_nigerrima,9148
Nomada_cressoni,9224
Nomada_luteoloides,9144
Nomada_maculata,9258
Nomada_obliterata,9205
Nomada_vicina,9660
Nomada_vincta,9024
Oreopasites_vanduzeei,9123
Osmia_bruneri,9187
Osmia_cornifrons,9180
Osmia_georgica,9155
Osmia_lignaria_propinqua_CA,9261
Osmia_lignaria_propinqua_UT,9330
Osmia_lignaria_propinqua_WA,9325
Osmia_ribifloris,9176
Osmia_taurus,9164
Osmia_unca,9151
Panurginus_polytrichus,8295
Perdita_maritima,8989
Protandrena_mexicanorum,9137
Protosmia_rubifloris,8973
Protoxaea_gloriosa,9186
Stelis_foederalis,9269
Stelis_lateralis,9346
Svastra_machaerantherae,9498
Svastra_obliqua,9157
Svastra_petulca,9493
Townsendiella_pulchra,9175
Trachusa_larreae,9103
Trachusa_mitchelli,9120
Triepeolus_kathrynae,9181
Triepeolus_pectoralis,9222
Trigona_fulviventris,9091
Xenoglossa_angustior,8753
Xylocopa_micans,9077
Xylocopa_micheneri,9213
Xylocopa_sonorina,9234
Xylocopa_strandi,9246
Zacosmia_maculata,9131
